iter	Passed	Remaining
0	181	180845
1	182	91088
2	184	61442
3	186	46365
4	187	37305
5	188	31259
6	189	26951
7	191	23759
8	192	21216
9	199	19774
10	201	18090
11	202	16673
12	203	15471
13	205	14440
14	206	13542
15	209	12861
16	212	12271
17	213	11649
18	214	11088
19	215	10581
20	217	10132
21	218	9721
22	224	9533
23	226	9217
24	228	8894
25	229	8590
26	230	8305
27	232	8065
28	233	7814
29	239	7739
30	241	7537
31	242	7337
32	243	7146
33	245	6965
34	246	6807
35	247	6640
36	254	6631
37	256	6486
38	257	6346
39	258	6209
40	260	6094
41	261	5971
42	262	5850
43	268	5830
44	269	5720
45	270	5616
46	272	5515
47	273	5429
48	275	5337
49	280	5323
50	282	5254
51	283	5172
52	284	5092
53	286	5014
54	288	4948
55	289	4872
56	290	4799
57	296	4809
58	297	4742
59	298	4678
60	300	4626
61	302	4583
62	304	4525
63	310	4537
64	311	4479
65	313	4441
66	315	4394
67	318	4362
68	322	4354
69	324	4305
70	325	4256
71	326	4211
72	328	4166
73	329	4122
74	330	4080
75	332	4039
76	336	4032
77	338	3997
78	339	3958
79	340	3918
80	342	3882
81	343	3847
82	344	3804
83	345	3768
84	347	3739
85	350	3729
86	352	3696
87	353	3663
88	354	3630
89	355	3599
90	357	3569
91	358	3539
92	359	3509
93	361	3482
94	365	3486
95	367	3462
96	369	3442
97	370	3414
98	372	3385
99	373	3357
100	374	3331
101	375	3304
102	378	3300
103	380	3277
104	381	3254
105	383	3232
106	384	3209
107	386	3188
108	387	3168
109	389	3148
110	393	3148
111	394	3131
112	396	3109
113	397	3088
114	398	3067
115	399	3046
116	400	3024
117	401	3003
118	402	2982
119	405	2973
120	407	2957
121	408	2937
122	409	2920
123	411	2903
124	412	2886
125	414	2871
126	414	2852
127	416	2834
128	420	2840
129	424	2837
130	425	2823
131	426	2806
132	427	2789
133	429	2774
134	430	2758
135	437	2782
136	439	2769
137	441	2755
138	442	2739
139	443	2724
140	445	2712
141	445	2694
142	449	2692
143	450	2680
144	452	2666
145	453	2652
146	454	2637
147	455	2623
148	457	2614
149	459	2605
150	461	2594
151	462	2580
152	463	2568
153	465	2557
154	466	2544
155	467	2530
156	468	2516
157	474	2530
158	476	2518
159	477	2506
160	478	2492
161	479	2479
162	480	2467
163	482	2458
164	483	2446
165	489	2456
166	490	2448
167	492	2438
168	493	2427
169	494	2415
170	496	2407
171	497	2395
172	498	2383
173	503	2391
174	504	2380
175	506	2369
176	507	2358
177	508	2348
178	509	2338
179	510	2327
180	519	2350
181	521	2344
182	522	2333
183	523	2323
184	525	2315
185	526	2304
186	529	2301
187	530	2291
188	531	2282
189	533	2272
190	534	2265
191	535	2255
192	541	2266
193	543	2259
194	545	2250
195	546	2241
196	547	2232
197	548	2223
198	550	2214
199	556	2225
200	558	2221
201	560	2212
202	561	2204
203	562	2195
204	564	2187
205	565	2178
206	572	2195
207	574	2186
208	575	2178
209	576	2169
210	578	2161
211	579	2153
212	583	2154
213	586	2153
214	587	2145
215	588	2137
216	590	2129
217	591	2120
218	592	2112
219	593	2104
220	598	2108
221	599	2100
222	600	2092
223	601	2085
224	603	2079
225	604	2071
226	605	2063
227	612	2074
228	613	2066
229	615	2059
230	616	2052
231	619	2049
232	620	2042
233	627	2054
234	629	2048
235	630	2041
236	631	2034
237	633	2026
238	634	2021
239	636	2014
240	642	2023
241	643	2016
242	644	2008
243	646	2004
244	648	1997
245	649	1990
246	650	1982
247	656	1990
248	658	1984
249	659	1978
250	660	1972
251	662	1965
252	663	1960
253	665	1953
254	668	1953
255	670	1947
256	671	1942
257	673	1935
258	674	1929
259	675	1922
260	684	1936
261	685	1931
262	686	1925
263	688	1918
264	689	1911
265	691	1907
266	696	1912
267	700	1912
268	702	1908
269	703	1902
270	705	1896
271	706	1891
272	709	1889
273	710	1883
274	711	1877
275	713	1870
276	714	1865
277	716	1860
278	720	1862
279	722	1856
280	723	1851
281	724	1845
282	726	1840
283	731	1843
284	735	1844
285	736	1839
286	738	1833
287	739	1828
288	740	1822
289	745	1825
290	749	1826
291	750	1820
292	752	1815
293	753	1810
294	760	1816
295	761	1812
296	763	1806
297	764	1800
298	765	1794
299	766	1788
300	767	1782
301	768	1776
302	774	1782
303	776	1778
304	778	1773
305	779	1767
306	780	1762
307	782	1757
308	783	1752
309	790	1759
310	792	1755
311	793	1749
312	794	1743
313	795	1738
314	797	1733
315	798	1727
316	804	1734
317	807	1731
318	808	1725
319	809	1720
320	810	1715
321	812	1709
322	813	1704
323	819	1710
324	821	1706
325	822	1700
326	823	1695
327	825	1691
328	827	1686
329	828	1681
330	830	1679
331	832	1674
332	833	1669
333	834	1664
334	836	1660
335	837	1655
336	838	1649
337	840	1645
338	843	1645
339	844	1640
340	846	1635
341	847	1630
342	849	1626
343	850	1621
344	851	1616
345	852	1611
346	855	1610
347	857	1606
348	858	1601
349	859	1596
350	860	1591
351	861	1586
352	863	1583
353	870	1589
354	872	1584
355	873	1580
356	874	1575
357	876	1572
358	877	1567
359	878	1562
360	884	1565
361	886	1562
362	888	1558
363	889	1553
364	890	1549
365	892	1546
366	893	1541
367	900	1547
368	902	1543
369	903	1538
370	904	1534
371	906	1530
372	907	1526
373	909	1521
374	914	1524
375	916	1520
376	917	1516
377	918	1511
378	919	1507
379	921	1503
380	922	1499
381	924	1495
382	927	1494
383	929	1490
384	930	1486
385	931	1482
386	932	1477
387	934	1473
388	937	1472
389	939	1469
390	940	1465
391	942	1461
392	943	1457
393	944	1453
394	946	1449
395	947	1444
396	953	1448
397	955	1444
398	956	1440
399	958	1437
400	959	1432
401	960	1429
402	961	1424
403	967	1426
404	968	1423
405	970	1420
406	972	1416
407	973	1412
408	975	1408
409	976	1404
410	981	1406
411	982	1402
412	986	1401
413	987	1397
414	988	1393
415	989	1389
416	991	1386
417	998	1390
418	1000	1386
419	1001	1382
420	1002	1379
421	1004	1375
422	1005	1371
423	1006	1367
424	1013	1370
425	1014	1367
426	1016	1363
427	1018	1360
428	1019	1357
429	1020	1353
430	1021	1349
431	1027	1351
432	1028	1347
433	1029	1343
434	1031	1339
435	1032	1335
436	1033	1331
437	1034	1327
438	1035	1323
439	1041	1325
440	1043	1322
441	1045	1319
442	1046	1315
443	1047	1311
444	1048	1307
445	1049	1304
446	1051	1300
447	1055	1300
448	1057	1297
449	1058	1293
450	1059	1289
451	1060	1285
452	1061	1282
453	1063	1278
454	1064	1275
455	1065	1271
456	1069	1271
457	1071	1267
458	1072	1264
459	1074	1261
460	1075	1257
461	1076	1253
462	1077	1249
463	1078	1245
464	1082	1244
465	1083	1241
466	1084	1237
467	1085	1233
468	1086	1230
469	1087	1226
470	1088	1222
471	1089	1219
472	1090	1215
473	1091	1211
474	1092	1207
475	1096	1207
476	1097	1203
477	1098	1199
478	1099	1196
479	1100	1192
480	1101	1189
481	1102	1185
482	1104	1181
483	1105	1178
484	1106	1174
485	1107	1171
486	1110	1169
487	1111	1166
488	1112	1162
489	1113	1159
490	1114	1155
491	1116	1152
492	1117	1148
493	1118	1145
494	1119	1142
495	1120	1138
496	1121	1135
497	1124	1133
498	1125	1130
499	1126	1126
500	1127	1123
501	1128	1119
502	1129	1116
503	1130	1113
504	1131	1109
505	1133	1106
506	1134	1102
507	1135	1099
508	1136	1096
509	1139	1094
510	1140	1091
511	1142	1088
512	1143	1085
513	1144	1082
514	1145	1078
515	1146	1075
516	1147	1072
